Crop,2014 Water Footprint (cubic meters),2014 Total Value ($USD),2014 Total Protein (Kg),2014 Total Fiber (Kg),2014 Total Vitamin A (mg),2014 Total Vitamin C (g),2014 Total Vitamin E (g),2014 Total Calcium (g),2014 Total Iron (g),2014 Total Magnesium (g),2014 Total Potassium (g),2014 Total Saturated Fat (Kg),2014 Total Sodium (g),2014 Total Protein (Kg)/m3_of_water,2014 Total Fiber (Kg)/m3_of_water,2014 Total Vitamin A (mg)/m3_of_water,2014 Total Vitamin C (g)/m3_of_water,2014 Total Vitamin E (g)/m3_of_water,2014 Total Calcium (g)/m3_of_water,2014 Total Iron (g)/m3_of_water,2014 Total Magnesium (g)/m3_of_water,2014 Total Potassium (g)/m3_of_water,2014 Total Saturated Fat (Kg)/m3_of_water,2014 Total Sodium (g)/m3_of_water
Cauliflower,48974179,197891000,3465239.0,3647620.0,0.0,87907642.0,182381.0,40853344.0,729524.0,27357149.999999996,545501571.0,182381.0,54531919.0,0.07075644902592446,0.07448047265886786,0.0,1.794979391078715,0.0037240236329433925,0.8341812937793199,0.01489609453177357,0.5586035449415088,11.138554686133688,0.0037240236329433925,1.1134830662500743
Cherries,60324106,185487640,443575.00000000006,846825.0,1169425.0,2822750.0,40325.0,5242249.999999999,161300.0,4395424.999999999,89400524.99999999,0.0,0.0,0.0073531964153766335,0.014037920429355389,0.019385699640538396,0.0467930680978513,0.0006684724013978757,0.08690141218172383,0.0026738896055915028,0.07286349175236843,1.48200331389909,0.0,0.0
Corn,76169148,85109400,5530437.0,3854547.0,15083010.0,11396052.0,167589.0,3351780.0,837945.0,62007930.0,452490300.00000006,502767.0,25138350.0,0.0726073107710224,0.0506050953858641,0.19801993846642474,0.14961506461907648,0.0022002215385158305,0.04400443077031661,0.011001107692579153,0.8140819692508573,5.9405981539927435,0.0066006646155474915,0.33003323077737456
Cucumbers,12809504,17505740,239322.99999999997,170945.0,1709450.0000000002,957292.0,0.0,5470240.0,102566.99999999999,4444570.0,50257830.0,0.0,581213.0,0.01868323707147443,0.01334516933676745,0.1334516933676745,0.07473294828589772,0.0,0.4270454187765584,0.008007101602060468,0.3469744027559537,3.92347978500963,0.0,0.04537357574500933
Figs,12346910,31027690,107272.0,388861.0,952039.0,281589.00000000006,13408.999999999998,4787013.0,53635.99999999999,2400210.9999999995,31122289.000000004,13409.0,0.0,0.008688165702997755,0.03149460067336686,0.07710747061410507,0.02280643497036911,0.0010860207128747191,0.3877093944962748,0.004344082851498877,0.1943977076045747,2.520654074582224,0.0010860207128747194,0.0
Garlic,67002471,246155790,12244806.0,4081602.0000000005,0.0,60640944.0,0.0,351795220.0,3304154.0,48590500.0,777448000.0,194362.0,33041540.000000004,0.18275155852087901,0.06091718617362635,0.0,0.9050553374367343,0.0,5.250481284488747,0.049313912616745136,0.7252045973050755,11.603273556881208,0.002900818389220302,0.4931391261674514
Grapefruit,25535712,77737200,836088.0,1532828.0000000002,64239428.0,47935712.0,139348.0,17000455.999999996,139348.0,10869144.0,193833068.00000003,0.0,0.0,0.03274191062305214,0.060026836142262265,2.515670132871173,1.8772028757216561,0.005456985103842024,0.6657521826687267,0.005456985103842024,0.4256448380996778,7.590666279444256,0.0,0.0
Honeydew,18281991,48209000,559790.0,895664.0,3246781.9999999995,20152440.0,0.0,6605522.000000001,223915.99999999997,11195800.0,255488155.99999997,0.0,20376356.0,0.030619750332444646,0.048991600531911435,0.1775945519281789,1.1023110119680073,0.0,0.36131305392284685,0.012247900132977857,0.6123950066488929,13.974854051727734,0.0,1.1145589121009851
Kiwifruit,54340499,121531200,826727.0000000001,2254710.0,3006280.0,69670539.0,1127355.0,25478223.0,225470.99999999997,12701533.0,234414682.99999994,0.0,2104396.0,0.015213827903935885,0.04149225791982514,0.05532301055976685,1.2821107697225969,0.02074612895991257,0.46886251449402405,0.004149225791982513,0.23373971961501494,4.313811748397819,0.0,0.038726107391836795
Lemons,148354313,736076600,8066630.000000001,20533239.999999996,6599970.000000001,388664900.0,1466659.9999999998,189932470.0,4399979.999999999,58666400.0,1013462060.0,0.0,13933270.0,0.054374084830280604,0.13840676138616878,0.04448788758841141,2.619842269095338,0.009886197241869198,1.2802625428220613,0.029658591725607593,0.395447889674768,6.831362294131617,0.0,0.0939188737977574
Lettuce,184137218,927094000,23559770.0,23559770.0,6705473000.0,166730680.0,3624580.0,652424400.0,14498320.0,235597699.99999997,3515842600.0000005,0.0,507441200.00000006,0.12794681192587584,0.12794681192587584,36.41563108659543,0.9054697459369675,0.019684124911673206,3.5431424841011774,0.07873649964669283,1.2794681192587583,19.09360116432301,0.0,2.755777487634249
