Crop,2014 Water Footprint (cubic meters),2014 Total Value ($USD),2014 Total Protein (Kg),2014 Total Fiber (Kg),2014 Total Vitamin A (Kg),2014 Total Vitamin C (Kg),2014 Total Vitamin E (Kg),2014 Total Calcium (Kg),2014 Total Iron (Kg),2014 Total Magnesium (Kg),2014 Total Potassium (Kg),2014 Total Saturated Fat (Kg),2014 Total Sodium (Kg),%2014 Water Footprint (cubic meters),%2014 Total Value ($USD),%2014 Total Protein (Kg),%2014 Total Fiber (Kg),%2014 Total Vitamin A (Kg),%2014 Total Vitamin C (Kg),%2014 Total Vitamin E (Kg),%2014 Total Calcium (Kg),%2014 Total Iron (Kg),%2014 Total Magnesium (Kg),%2014 Total Potassium (Kg),%2014 Total Saturated Fat (Kg),%2014 Total Sodium (Kg),Mean % Total Nutrient
Figs,12346910,31027690,10.7272,38.8861,9.52039e-05,0.0281589,0.0013409000000000001,0.47870130000000005,0.0053636000000000005,0.2400211,3.1122289,1.3409,0.0,0.050073876360999504,0.1382441129452645,0.015741358757543206,0.0806338809533285,0.007390433733626584,0.0071801827604501154,0.0042626364935369745,0.06153655621340359,0.0367259441180209,0.037487043734595,0.07313992583105605,0.012881182222973313,0.0,0.03063446771077584
Garlic,67002471,246155790,1224.4805999999999,408.16020000000003,0.0,6.064094399999999,0.0,35.179522,0.33041539999999997,4.85905,77.7448,19.4362,3.304154,0.2717338547649132,1.096749027558636,1.7968331359769334,0.8463574638929272,0.0,1.5462715542376329,0.0,4.522291109536715,2.262438943271967,0.7588975296696159,1.827066417174613,0.1867113385950883,1.3112203060236907,1.3689170725799258
Grapefruit,25535712,77737200,83.6088,153.2828,0.0064239428,4.793571200000001,0.0139348,1.7000456,0.0139348,1.0869144,19.3833068,0.0,0.0,0.10356211274546354,0.3463586962757658,0.12268962227679904,0.31784588959532745,0.49867414645836583,1.2223033318499719,0.044297849959086456,0.21853910074977737,0.09541514767987876,0.16975677408594944,0.45552357081209693,0.0,0.0,0.2859132212242957
Honeydew,18281991,48209000,55.979,89.56640000000002,0.0003246782,2.015244,0.0,0.6605522,0.0223916,1.11958,25.548815599999998,0.0,2.0376355999999998,0.07414406980911868,0.21479557263135787,0.08214496997245425,0.1857241131154372,0.025203933051620355,0.5138631206084233,0.0,0.0849133010233885,0.15332102511616766,0.17485856211965478,0.6004180727373002,0.0,0.8086152083095297,0.23900566418672506
Kiwifruit,54340499,121531200,82.6727,225.471,0.000300628,6.967053900000001,0.1127355,2.5478223,0.022547099999999997,1.2701532999999998,23.441468299999997,0.0,0.21043959999999998,0.22038221938290772,0.5414832022356009,0.12131596597012664,0.4675347173521627,0.023336977922886488,1.7765154286533476,0.3583790412537382,0.3275199172964711,0.15438577347740864,0.1983754441036232,0.5508936867828236,0.0,0.08351084020645012,0.3692516175471852
Lemons,148354313,736076600,806.6630000000001,2053.3239999999996,0.000659997,38.86649,0.146666,18.993247,0.439998,5.86664,101.34620599999998,0.0,1.393327,0.6016627258790272,3.2795949884366604,1.1837172495559025,4.257754904056006,0.051233868495853055,9.910490163223946,0.46624195984867906,2.4415622261534677,3.0127790961371024,0.9162652377442002,2.381718770781586,0.0,0.5529278161160378,2.28860829928298
Lettuce,184137218,927094000,2355.977,2355.977,0.6705473,16.673067999999997,0.362458,65.24244,1.449832,23.55977,351.58426,0.0,50.74412,0.7467831455473808,4.130674492586365,3.457218955693972,4.8853335496946215,52.05286113186776,4.251432954320391,1.1522311120698223,8.386848075322984,9.927371357394005,3.679618701718304,8.262517805090342,0.0,20.13729401090351,10.562975241279611
Nectarines,119906270,302243300,230.78000000000003,356.66,0.00352464,1.13292,0.16784,1.32174,0.06294,1.90918,42.10686,0.0,0.0,0.48628942293161803,1.3466473624736313,0.3386522833605994,0.7395670941754031,0.27360873194154445,0.28888105192209723,0.5335527698376059,0.16990830776833912,0.4309663141897673,0.29818009398846224,0.9895456652878781,0.0,0.0,0.36935111931560877
Oats,35421728,2646800,244.03599999999997,153.064,0.0,0.0,0.0,0.77976,0.067868,2.55588,6.19476,17.328,0.02888,0.1436556375939368,0.011792837885885997,0.35810446582107297,0.31739218780593254,0.0,0.0,0.0,0.1002373402223131,0.46470959344504487,0.3991831773972233,0.14558192906093534,0.1664591882762932,0.011460737737394863,0.17846623816056453
Olives,126227599,104516500,116.5995,414.576,0.0026299665,0.1165995,0.2202435,11.40084,0.4275315,0.51822,1.03644,181.377,95.222925,0.5119260758903907,0.4656740746940471,0.17110099191309563,0.8596612113353388,0.2041575307304411,0.029731478139313084,0.7001401898458577,1.4655661715145125,2.9274177749447485,0.08093678349170894,0.0243571881002518,1.7423746648193232,37.788260734509024,4.181245883576692
